bairro,casosconfirmados,obitosconfirmados,pessoas,incidenciacasos,incidenciaobitos
Beira Mar,398,24,7904,50.35,30.36
Boa Vista,625,32,9250,67.57,34.59
Catiapoã,717,36,15056,47.62,23.91
Centro,607,39,9796,61.96,39.81
Cidade Náutica,819,48,18345,44.64,26.17
Esplanada dos Barreiros,426,33,9883,43.10,33.39
Gleba,217,11,5809,37.36,18.94
Gonzaguinha,786,50,12320,63.80,40.58
Humaitá,501,40,15313,32.72,26.12
Itararé,582,17,8095,71.90,21.00
Japão,78,8,1337,58.34,59.84
Japuí,222,10,5245,42.33,19.07
Jardim Guaçu,163,9,3420,47.66,26.32
Jardim Independência,186,9,3378,55.06,26.64
Jardim Irmã Dolores,256,17,9572,26.74,17.76
Jardim Rio Branco,481,24,15084,31.89,15.91
México 70,301,15,12202,24.67,12.29
Náutica III,421,24,8550,49.24,28.07
Nova São Vicente,105,1,4404,23.84,2.27
Parque Bitarú,599,42,14623,40.96,28.72
Parque Continental,533,19,13813,38.59,13.76
Parque das Bandeiras,233,18,7231,32.22,24.89
Parque Prainha,23,0,646,35.60,0.00
Parque São Vicente,573,30,10684,53.63,28.08
Quarentenário,352,15,13304,26.46,11.27
Tancredo,243,10,4877,49.83,20.50
Vila Emma,156,9,4946,31.54,18.20
Vila Jóquei Clube,986,51,25742,38.30,19.81
Vila Margarida,631,41,16335,38.63,25.10
Vila Mello,342,16,6458,52.96,24.78
Vila Nossa Senhora de Fátima,388,13,10938,35.47,11.89
Vila Samaritá,193,11,4685,41.20,23.48
Vila São Jorge,415,17,7565,54.86,22.47
Vila Valença,388,18,5906,65.70,30.48
Vila Voturuá,203,10,3181,63.82,31.44
Paratinga,2,0,NULL,NULL,NULL
