data,casos_acu,obitos_acu,casos_novos,obitos_novos,mm7_casos,mm7_obitos,testes,1_dose,2_dose,vac_recebida,ocup_enfer,ocup_uti,o_fem,o_masc,i_isolamento,semana_epi,c_1,c_1a4,c_5a9,c_10a19,c_20a29,c_30a39,c_40a49,c_50a59,c_60+,c_seminfo,o_1,o_1a4,o_5a9,o_10a19,o_20a29,o_30a39,o_40a49,o_50a59,o_60+,o_seminfo
2020-03-06,0,0,0,0,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
2020-03-07,0,0,0,0,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
2020-03-08,0,0,0,0,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,
2020-03-09,0,0,0,0,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,
2020-03-10,0,0,0,0,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,
2020-03-11,0,0,0,0,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,
2020-03-12,0,0,0,0,0,0,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,
2020-03-13,0,0,0,0,0,0,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,
2020-03-14,0,0,0,0,0,0,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,
2020-03-15,0,0,0,0,0,0,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,
2020-03-16,0,0,0,0,0,0,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,
2020-03-17,2,0,2,0,"0,2857142857",0,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,
2020-03-18,2,0,0,0,"0,2857142857",0,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,
2020-03-19,2,0,0,0,"0,2857142857",0,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,
2020-03-20,3,0,1,0,"0,4285714286",0,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,
2020-03-21,3,0,0,0,"0,4285714286",0,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,
2020-03-22,3,0,0,0,"0,4285714286",0,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,
2020-03-23,4,0,1,0,"0,5714285714",0,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,
2020-03-24,8,0,4,0,"0,8571428571",0,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,
2020-03-25,10,0,2,0,"1,142857143",0,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,
2020-03-26,12,1,2,1,"1,428571429","0,1428571429",,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,
2020-03-27,12,1,0,0,"1,285714286","0,1428571429",,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,
2020-03-28,14,1,2,0,"1,571428571","0,1428571429",,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,
2020-03-29,15,1,1,0,"1,714285714","0,1428571429",,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,
2020-03-30,23,1,8,0,"2,714285714","0,1428571429",,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,
2020-03-31,32,3,9,2,"3,428571429","0,4285714286",,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,
2020-04-01,43,4,11,1,"4,714285714","0,5714285714",,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,
2020-04-02,48,4,5,0,"5,142857143","0,4285714286",,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,
2020-04-03,63,4,15,0,"7,285714286","0,4285714286",,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,
2020-04-04,69,4,6,0,"7,857142857","0,4285714286",,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,
2020-04-05,74,5,5,1,"8,428571429","0,5714285714",,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,
2020-04-06,92,5,18,0,"9,857142857","0,5714285714",,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,
2020-04-07,101,5,9,0,"9,857142857","0,2857142857",,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,
2020-04-08,112,5,11,0,"9,857142857","0,1428571429",,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,
2020-04-09,121,5,9,0,"10,42857143","0,1428571429",,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,
2020-04-10,127,5,6,0,"9,142857143","0,1428571429",,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,
2020-04-11,130,8,3,3,"8,714285714","0,5714285714",,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,
2020-04-12,138,8,8,0,"9,142857143","0,4285714286",,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,
2020-04-13,159,8,21,0,"9,571428571","0,4285714286",,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,
2020-04-14,171,8,12,0,10,"0,4285714286",,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,
2020-04-15,188,8,17,0,"10,85714286","0,4285714286",,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,
2020-04-16,212,11,24,3,13,"0,8571428571",,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,
2020-04-17,223,11,11,0,"13,71428571","0,8571428571",,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,
2020-04-18,227,11,4,0,"13,85714286","0,4285714286",,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,
2020-04-19,243,12,16,1,15,"0,5714285714",,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
2020-04-20,258,14,15,2,"14,14285714","0,8571428571",,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
2020-04-21,264,15,6,1,"13,28571429",1,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
2020-04-22,274,15,10,0,"12,28571429",1,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
2020-04-23,301,15,27,0,"12,71428571","0,5714285714",,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
2020-04-24,328,17,27,2,15,"0,8571428571",,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
2020-04-25,345,20,17,3,"16,85714286","1,285714286",,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
2020-04-26,352,22,7,2,"15,57142857","1,428571429",,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,
2020-04-27,389,23,37,1,"18,71428571","1,285714286",,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,
2020-04-28,408,23,19,0,"20,57142857","1,142857143",,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,
2020-04-29,431,24,23,1,"22,42857143","1,285714286",,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,
2020-04-30,466,26,35,2,"23,57142857","1,571428571",,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,
2020-05-01,497,28,31,2,"24,14285714","1,571428571",,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,
2020-05-02,517,30,20,2,"24,57142857","1,428571429",,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,
2020-05-03,528,31,11,1,"25,14285714","1,285714286",,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,
2020-05-04,560,32,32,1,"24,42857143","1,285714286",,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,
2020-05-05,596,33,36,1,"26,85714286","1,428571429",,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,
2020-05-06,634,35,38,2,29,"1,571428571",,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,
2020-05-07,656,39,22,4,"27,14285714","1,857142857",,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,
2020-05-08,684,41,28,2,"26,71428571","1,857142857",,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,
2020-05-09,708,42,24,1,"27,28571429","1,714285714",,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,
2020-05-10,723,46,15,4,"27,85714286","2,142857143",,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,
2020-05-11,760,48,37,2,"28,57142857","2,285714286",,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,
2020-05-12,793,51,33,3,"28,14285714","2,571428571",,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,
2020-05-13,860,55,67,4,"32,28571429","2,857142857",,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,
2020-05-14,903,59,43,4,"35,28571429","2,857142857",,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,
2020-05-15,979,62,76,3,"42,14285714",3,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,
2020-05-16,1005,66,26,4,"42,42857143","3,428571429",,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,
2020-05-17,1025,69,20,3,"43,14285714","3,285714286",,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,
2020-05-18,1122,74,97,5,"51,71428571","3,714285714",,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,
2020-05-19,1198,75,76,1,"57,85714286","3,428571429",,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,
2020-05-20,1258,77,60,2,"56,85714286","3,142857143",,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,
2020-05-21,1355,80,97,3,"64,57142857",3,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,
2020-05-22,1426,82,71,2,"63,85714286","2,857142857",,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,
2020-05-23,1490,87,64,5,"69,28571429",3,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,
